"","","","","변경 이력","","","","","","","","","","","","","","","","","","","","",""
"single-quoted","작은따옴표","","","","","","","","","","","","","","","","","","","","","","","",""
"double-quoted","큰따옴표","","","","","","","","","","","","","","","","","","","","","","","",""
"quotes","따옴표","","","","","","","","","","","","","","","","","","","","","","","",""
"quoted strings","따옴표로 묶인 문자열","","","","","","","","","","","","","","","","","","","","","","","",""
"opening quote","여는 따옴표","","","","","","","","","","","","","","","","","","","","","","","",""
"closing quote","닫는 따옴표","","","","","","","","","","","","","","","","","","","","","","","",""
"escape","이스케이프","https://developer.mozilla.org/ko/docs/Web/JavaScript/Guide/Regular_Expressions","","","","","","","","","","","","","","","","","","","","","","",""
"sequence ","시퀀스","https://developer.mozilla.org/ko/docs/Web/JavaScript/Guide/Iterators_and_Generators","","","","","","","","","","","","","","","","","","","","","","",""
"quantifiers","수량자","https://developer.mozilla.org/ko/docs/Web/JavaScript/Guide/Regular_Expressions","","","","","","","","","","","","","","","","","","","","","","",""
"cross-window","크로스 윈도우","","","","","","","","","","","","","","","","","","","","","","","",""
"same-origin","동일 출처","https://developer.mozilla.org/ko/docs/Web/Security/Same-origin_policy","","","","","","","","","","","","","","","","","","","","","","",""
"variant","변형","https://developer.mozilla.org/ko/docs/Web/JavaScript","","","","","","","","","","","","","","","","","","","","","","",""
"","","용어집 보호를 위해 새로운 용어 추가를 위한 시트를 따로 제작하였습니다.
구글시트 편집이 익숙하지 않으신 분들이 실수로 용어집을 편집하셔서 수정내역이 관리가 안돼
불가피하게 새롭게 시트를 만들었으니, 양해 부탁드립니다.
이곳에 추가해주신 용어들은 '용어집(보호)' 시트로 주기적으로 옮기겠습니다.","","","","","","","","","","","","","","","","","","","","","","",""
