""," ","추가 설명 및 의견","작성자","변경 이력","","","","","","","","","","","","","","","","","","","","",""
"-","빼기","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"-","하이픈/붙임표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"--","줄표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
",","쉼표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
";","세미콜론/쌍반점","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
":","콜론/쌍점","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"!","느낌표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"?","물음표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"?.","?.","'옵셔널 체이닝 문법, 물음표 점'이라고 읽습니다","","","","","","","","","","","","","","","","","","","","","","",""
"?.()","?.()","'옵셔널 체이닝 문법, 물음표 괄호'라고 읽습니다","","","","","","","","","","","","","","","","","","","","","","",""
"?.[]","?.[]","'옵셔널 체이닝 문법, 물음표 대괄호'라고 읽습니다","","","","","","","","","","","","","","","","","","","","","","",""
".","마침표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"……","줄임표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"·","가운뎃점","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"'","작은따옴표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"'","아포스트로피","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"""""","큰따옴표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"(","여는 괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"()","소괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
")","닫는 괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"[]","대괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"{}","중괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"*","별표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"/","슬래시/빗금","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"\","역슬래시, 원","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"&","앰퍼샌드","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"#","파운드","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"%","백분율","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"+","더하기","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"<=","부등호(이하/작거나 같음)","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"<>","꺽쇠괄호, 각괄호","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"<>","부등호(미만/보다 작음)","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"<>","같지 않음","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"=","등호(같음)","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
">","부등호(초과/보다 큼)","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
">=","부등호(이상/크거나 같음)","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"|","세로줄","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"||","이중 세로줄","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"~","물결표","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"$","달러","KIGO 스타일 가이드","","","","","","","","","","","","","","","","","","","","","","",""
"accessor","접근자","","","","","","","","","","","","","","","","","","","","","","","",""
"action","동작","","","","","","","","","","","","","","","","","","","","","","","",""
"alert","alert 창, 얼럿 창, 얼럿 대화상자","프론트엔드 개발자를 위한 자바스크립트 프로그래밍 책에서 '얼럿 창, 얼럿 대화상자, 대화상자'로 표기함","","","","","","","","","","","","","","","","","","","","","","",""
"alias","별칭","","","","","","","","","","","","","","","","","","","","","","","",""
"ampersands ","앰퍼샌드","","","","","","","","","","","","","","","","","","","","","","","",""
"ancestor","조상","조상 노드","","","","","","","","","","","","","","","","","","","","","","",""
"animation","애니메이션","","","","","","","","","","","","","","","","","","","","","","","",""
"appendix","부록","","","","","","","","","","","","","","","","","","","","","","","",""
"application","애플리케이션","","","","","","","","","","","","","","","","","","","","","","","",""
"architecture","아키텍처","국립국어원 외래어 표기법 참고","","","","","","","","","","","","","","","","","","","","","","",""
"argument","인수","인수는 함수 호출시 실제 전달되는 값으로, 전달 인자라고 부릅니다. 인자는 parameter, 매개변수입니다.
참고 이슈: https://github.com/javascript-tutorial/ko.javascript.info/issues/508","","","","","","","","","","","","","","","","","","","","","","",""
"array destructing","배열 구조 분해","","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"array initializer","배열 초기자","","Violet-Bora-Lee","배열 이니셜라이저에서 배열 초기자로 변경","","","","","","","","","","","","","","","","","","","","",""
"array like (object)","유사 배열 (객체)","","","","","","","","","","","","","","","","","","","","","","","",""
"arrow function","화살표 함수","","","","","","","","","","","","","","","","","","","","","","","",""
"assertion","assertion","테스팅 자동화에 쓰이는 개념으로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"assignment","할당","할당, 할당 연산자 등","","","","","","","","","","","","","","","","","","","","","","",""
"assignment expression","할당 표현식","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"associative array","연관 배열","최초 등장시 영문 병기","","","","","","","","","","","","","","","","","","","","","","",""
"async script","async 스크립트, 비동기 스크립트","참고: 프론트엔드 개발자를 위한 자바스크립트 프로그래밍","","","","","","","","","","","","","","","","","","","","","","",""
"attribute","속성","참고: property는 프로퍼티로 번역해야합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"autocorrection","자동 고침","https://www.microsoft.com/en-us/language/Search?&searchTerm=Autocorrection&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"babel","바벨","","","","","","","","","","","","","","","","","","","","","","","",""
"background","백그라운드","스레드, 프로세스 개념과 함께 쓰일 때 백그라운드로 음차 번역함","","","","","","","","","","","","","","","","","","","","","","",""
"Backreference","역참조","<러닝 자바스크립트> 17장 정규표현식 파트 참조(p357)","","","","","","","","","","","","","","","","","","","","","","",""
"backslash","역슬래시","KIGO스타일가이드","","","","","","","","","","","","","","","","","","","","","","",""
"base of recursion","재귀의 베이스","base 번역안함 base case 라는 뜻인데 여러 번역글에서 base 번역하지 않고 쓰임","","기존 [재귀의 base]에서 [재귀의 베이스]로 번역어를 변경합니다. 
다수의 알고리즘 서적에서 재귀의 베이스라는 번역어를 채택하고 있고,
최대한 한글로 표현하기위함 입니다.","","","","","","","","","","","","","","","","","","","","",""
"best practice","모범 사례","https://www.microsoft.com/en-us/language/Search?&searchTerm=best%20practice&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"bind","바인드","최초등장시 병기표현(bind)","Chris","","","","","","","","","","","","","","","","","","","","","",""
"binding","바인딩","최초등장시 병기표시 바인딩(binding)","Chris","","","","","","","","","","","","","","","","","","","","","",""
"block","블록","","","","","","","","","","","","","","","","","","","","","","","",""
"body","본문","함수의 body는 함수의 본문이라 해석함(프론트앤드 개발자를 위한 자바스크립트 프로그래밍 참고)","","","","","","","","","","","","","","","","","","","","","","",""
"BOM","BOM","번역안함. 단, 키워드 최초 등장시는 '브라우저 객체 모델'로 병기표현 
e.g., 브라우저 객체 모델(Browser Object Model, BOM)","","","","","","","","","","","","","","","","","","","","","","",""
"boolean","불(린)값","출판사에서 boolean을 '불 값'으로 번역하는걸 권장한다고 하네요. 러닝 자바스크립트 책에서는 '불리언 값'으로 표기하고 있어서, 한글로 번역은 꼭 해주되, 번역어는 문맥에 따라 혼용하는걸로 하는게 어떨까 싶습니다","Violet-Bora-Lee","기존 번역 안함에서 불(린)값, 불린형으로 번역하기로 수정","","","","","","","","","","","","","","","","","","","","",""
"boolean type","불린형, 불(린) 자료형, 불리언 자료형 등","","","","","","","","","","","","","","","","","","","","","","","",""
"border","테두리","","","","","","","","","","","","","","","","","","","","","","","",""
"bracket ","대괄호 표기법","","","","","","","","","","","","","","","","","","","","","","","",""
"bracket(s)","괄호","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"breakpoint","중단점","디버깅 시 사용됨","","","","","","","","","","","","","","","","","","","","","","",""
"browser","브라우저","","","","","","","","","","","","","","","","","","","","","","","",""
"bubbling","버블링","","","","","","","","","","","","","","","","","","","","","","","",""
"bug","버그","","","","","","","","","","","","","","","","","","","","","","","",""
"build","빌드","","","","","","","","","","","","","","","","","","","","","","","",""
"built-in","내장","","","","","","","","","","","","","","","","","","","","","","","",""
"bundle","번들","번들링, 번들러(bundler) 등으로 확장하여 사용할 수 있음. ","","","","","","","","","","","","","","","","","","","","","","",""
"byte","바이트","","davidyang2149","","","","","","","","","","","","","","","","","","","","","",""
"cache(caching)","캐시(캐싱)","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"call forwarding","","번역안함 적절하다고 생각되는게 없네요. 일단 번역하지 않았습니다","Chris","","","","","","","","","","","","","","","","","","","","","",""
"callable","호출 가능한, 호출할 수 있는","","","","","","","","","","","","","","","","","","","","","","","",""
"callback","콜백","","","","","","","","","","","","","","","","","","","","","","","",""
"camel case","카멜 표기법","캐멀 케이스에서 카멜 표기법으로 통일합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"capturing","캡처링","","","","","","","","","","","","","","","","","","","","","","","",""
"carriage return","캐리지 리턴","https://www.microsoft.com/en-us/language/Search?&searchTerm=carriage%20return&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"case","case문","https://poiemaweb.com/js-control-flow 페이지에서 case문, default문, switch문으로 표기 참고","","","","","","","","","","","","","","","","","","","","","","",""
"chapter","주제 챕터","기존에 주제로 번역하기로 했었지만, 토의결과 챕터로 변경하기로 하였습니다.","","","","","","","","","","","","","","","","","","","","","","",""
"character","글자","한 글자를 나타냄. 자바스크립트엔 글자 하나를 저장하기위한 자료형이 없습니다. 주의해주세요!","","","","","","","","","","","","","","","","","","","","","","",""
"character code","문자 코드","","","","","","","","","","","","","","","","","","","","","","","",""
"character encoding","문자 인코딩","","","","","","","","","","","","","","","","","","","","","","","",""
"cheat sheet","치트 시트","https://www.microsoft.com/en-us/language/Search?&searchTerm=%20cheat%20sheet&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"child node","자식 노드","","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"children","자식","자식 노드","","","","","","","","","","","","","","","","","","","","","","",""
"Chrome","Chrome","상품명이므로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"class","클래스","'계층 구조'로 번역되는 경우도 있음(e.g., DOM node classes), 또는 '종류'로 번역될 수 있음","","","","","","","","","","","","","","","","","","","","","","",""
"Class Components","클래스 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"clause","절","","","","","","","","","","","","","","","","","","","","","","","",""
"clone","복제, 복제하기","","","","","","","","","","","","","","","","","","","","","","","",""
"closure","클로저","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Code-Splitting","코드 분할","","","","","","","","","","","","","","","","","","","","","","","",""
"collection","컬렉션","http://www.korean.go.kr/front/foreignSpell/foreignSpellView.do?mn_id=96&forgn_seq=18149&pageIndex=1","","","","","","","","","","","","","","","","","","","","","","",""
"colon","콜론, 쌍점","","","","","","","","","","","","","","","","","","","","","","","",""
"comma","쉼표","","","","","","","","","","","","","","","","","","","","","","","",""
"command","명령어","","","","","","","","","","","","","","","","","","","","","","","",""
"comment","주석","","","","","","","","","","","","","","","","","","","","","","","",""
"comment node","주석 노드","COMMENT 노드로 혼용","","","","","","","","","","","","","","","","","","","","","","",""
"compile","컴파일","","","","","","","","","","","","","","","","","","","","","","","",""
"Component","컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"Composition","합성","","","","","","","","","","","","","","","","","","","","","","","",""
"Computed property name","계산된 프로퍼티명","You Don’t Know JS this와 객체 프로토타입, 비동기와 성능 참고","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"computed style value","계산값","https://developer.mozilla.org/ko/docs/Web/CSS/computed_value","","","","","","","","","","","","","","","","","","","","","","",""
"Conditional Rendering","조건부 렌더링","","","","","","","","","","","","","","","","","","","","","","","",""
"configurable","구성 가능한","","","","","","","","","","","","","","","","","","","","","","","",""
"confirm","컨펌 대화상자","프론트엔드 개발자를 위한 자바스크립트 프로그래밍. 최초 등장시 컨펌(confirm) 대화상자로 한-영 병기","","","","","","","","","","","","","","","","","","","","","","",""
"console","콘솔","","","","","","","","","","","","","","","","","","","","","","","",""
"construct","문법 (구조), 구문","프로그래밍 전반적으로 쓰이는 용어로, 문법, 문법 구조 등으로 번역하는게 좋아보입니다.
https://stackoverflow.com/questions/12242437/what-precisely-is-a-construct-in-javascript
https://www.microsoft.com/en-us/language/Search?&searchTerm=construct&langID=457&Source=true&productid=0","","가존에 문법 혹은 문법 구조로 번역하던 것을 구문으로 혼합해 사용하도록 변경합니다. 마이크로소프토 용어집 참고.","","","","","","","","","","","","","","","","","","","","",""
"constructor","생성자","","Violet-Bora-Lee","기존에 번역 안함에서, 생성자로 변경합니다","","","","","","","","","","","","","","","","","","","","",""
"contents","콘텐츠","","","","","","","","","","","","","","","","","","","","","","","",""
"context","컨텍스트","인사이드 자바스크립트 책도 컨텍스트로 사용","","","","","","","","","","","","","","","","","","","","","","",""
"context menu","컨텍스트 메뉴","브라우저에서 마우스 우클릭시 나타나는 메뉴","","","","","","","","","","","","","","","","","","","","","","",""
"contextual name","contextual name","번역안함","Chris","","","","","","","","","","","","","","","","","","","","","",""
"control flow","제어 흐름","","","","","","","","","","","","","","","","","","","","","","","",""
"convention","컨벤션, 관습","문맥에 따라 컨벤션과 관습을 적절히 선택해 사용합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"core","코어","core javascript는, 코어 자바스크립트(core JavaScript)로 번역합니다","","","","","","","","","","","","","","","","","","","","","","",""
"Create React App","Create React App","번역 안함 / 크리에이트 리액트 앱(조사에 활용)","","","","","","","","","","","","","","","","","","","","","","",""
"credential","자격 증명","","","","","","","","","","","","","","","","","","","","","","","",""
"cross-platform","크로스 플랫폼","","","","","","","","","","","","","","","","","","","","","","","",""
"curly brace","중괄호","{}","","","","","","","","","","","","","","","","","","","","","","",""
"curring","커링","수학자 하스켈 커리로 부터 유래된 함수를 변형하는 과정을 뜻함. 최초등장시 병기표시 ""커링(curring)""
","Chris","","","","","","","","","","","","","","","","","","","","","",""
"curring function","커링 함수","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"custom","커스텀, 사용자 지정","","","","","","","","","","","","","","","","","","","","","","","",""
"dash","대시(기호)","대시 기호(—)","","","","","","","","","","","","","","","","","","","","","","",""
"data","데이터","","","","","","","","","","","","","","","","","","","","","","","",""
"data structure","자료 구조","","","","","","","","","","","","","","","","","","","","","","","",""
"data type","자료형, 데이터 타입(혼용)","","","","","","","","","","","","","","","","","","","","","","","",""
"dataset","dataset","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"debounce","디바운스","","rovin0805","","","","","","","","","","","","","","","","","","","","","",""
"debugging","디버깅","","","","","","","","","","","","","","","","","","","","","","","",""
"declaration","선언","cf. definition은 정의","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"Declarative","선언적인","","","","","","","","","","","","","","","","","","","","","","","",""
"decode","디코드","디코딩. 번역하지 않고 발음 그대로 한글 표기","","","","","","","","","","","","","","","","","","","","","","",""
"decorator","데코레이터","최초등장시 데코레이터(decorator)로 병기","Chris","","","","","","","","","","","","","","","","","","","","","",""
"deep cloning","깊은 복사","객체 복제시 사용되는 용어","","","","","","","","","","","","","","","","","","","","","","",""
"default","default문","","","","","","","","","","","","","","","","","","","","","","","",""
"defer script","defer 스크맄트, 지연 스크립트","참고: 프론트엔드 개발자를 위한 자바스크립트 프로그래밍","","","","","","","","","","","","","","","","","","","","","","",""
"definition","정의","정의는 선언과 함께 값을 부여하는 것을 의미함. 자바스크립트에선 모든 변수를 선언하는 동시에 값이 주어지므로(명시적으로 선언하지 않았을 때 undefined가 암시적으로 할당됨) 정의와 선언을 구분하지 않음 / cf. declaration은 선언 /","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"deque","양단 대기열","a double-ended queue 의 줄임말","","","","","","","","","","","","","","","","","","","","","","",""
"derived class","하위 클래스","기존에 출판된 JAVA책에서 상속관계에 있는 클래스를 상위클래스와 하위클래스로 번역하고 있습니다. ","OMEGA-Y","","","","","","","","","","","","","","","","","","","","","",""
"descendant","후손","후손 노드를 나타낼 때 쓰임","","","","","","","","","","","","","","","","","","","","","","",""
"descriptor","설명자","https://www.microsoft.com/en-us/language/Search?&searchTerm=descriptor&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"destructuring assignment","구조 분해 할당","mdn","","","","","","","","","","","","","","","","","","","","","","",""
"diagram","다이어그램","","","","","","","","","","","","","","","","","","","","","","","",""
"directive","지시자","","","","","","","","","","","","","","","","","","","","","","","",""
"directory","디렉터리","http://kornorms.korean.go.kr/example/exampleList.do","","","","","","","","","","","","","","","","","","","","","","",""
"document","문서","","","","","","","","","","","","","","","","","","","","","","","",""
"document","document","document 객체를 나타낼 때는 '문서'로 번역하지 않음","kbpark","","","","","","","","","","","","","","","","","","","","","",""
"document","document","document 객체를 나타낼 때는 '문서'로 번역하지 않음","kbpark","","","","","","","","","","","","","","","","","","","","","",""
"DOM","DOM","번역안함. 키워드 최초 등장시 '문서 객체 모델(Document Object Model, DOM))'로 병기표현 / 돔으로 읽음(조사에 활용)","","","","","","","","","","","","","","","","","","","","","","",""
"domain","","","","","","","","","","","","","","","","","","","","","","","","",""
"dot notation","점 표기법","객체 프로퍼티에 접근할 때 쓰임(대괄호 표기법도 존재함)","","","","","","","","","","","","","","","","","","","","","","",""
"Dotall","번역 안함","닷올'로 읽고, 정규 표현식에서 '.'(마침표, dot) 문자가 개행문자(\n)을 포함한 모든(all) 문자를 포함한다는 의미라고 합니다.","KB Park","","","","","","","","","","","","","","","","","","","","","",""
"drag'n'drop","드래그 앤 드롭","프론트엔드 개발자를 위한 자바스크립트 프로그래밍에 드래그 앤 드롭으로 번역하고 있습니다.","KimHunJin","","","","","","","","","","","","","","","","","","","","","",""
"dynamic programming","다이내믹 프로그래밍","dynamic은 외래어 표기법에 의해 '다이내믹'으로 번역합니다.","","","","","","","","","","","","","","","","","","","","","","",""
"dynamic typed","동적 타이핑","","","","","","","","","","","","","","","","","","","","","","","",""
"Edge","Edge","마이크로소프트사의 브라우저로 상품명이므로 번역하지 않음","","","","","","","","","","","","","","","","","","","","","","",""
"edge case","에지 케이스","테스팅 용어. 코너 케이스(corner case), 경계 케이스(boundry case) 등이 있음","","","","","","","","","","","","","","","","","","","","","","",""
"editor","에디터, 편집기","","","","","","","","","","","","","","","","","","","","","","","",""
"element","요소","","","","","","","","","","","","","","","","","","","","","","","",""
"Element node","요소 노드","Element 노드로 혼용","","","","","","","","","","","","","","","","","","","","","","",""
"Embedding Expressions","표현식 포함하기","","","","","","","","","","","","","","","","","","","","","","","",""
"encode","인코드","인코딩. 번역하지 않고 발음 그대로 한글 표기","","","","","","","","","","","","","","","","","","","","","","",""
"engine","엔진","","","","","","","","","","","","","","","","","","","","","","","",""
"entity","개체","https://developer.mozilla.org/ko/docs/Web/JavaScript/Guide/Working_with_Objects","","","","","","","","","","","","","","","","","","","","","","",""
"entity","엔티티","http://www.w3c.or.kr/i18n/","","","","","","","","","","","","","","","","","","","","","","",""
"enumerable","열거 가능한, 열거형","https://www.microsoft.com/en-us/language/Search?&searchTerm=enumerable&langID=457&Source=true&productid=0","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"environment","(호스트) 환경","문맥이 '자바스크립트가 돌아가는 환경'일때는 호스트 환경으로 번역(개발 환경과는 다름!)","","","","","","","","","","","","","","","","","","","","","","",""
"environment","호스트 환경","","","","","","","","","","","","","","","","","","","","","","","",""
"Environment Record","환경 레코드","초보자를 위한 Javascript 200제 참고","","","","","","","","","","","","","","","","","","","","","","",""
"Equality","동등 연산자","==","","","","","","","","","","","","","","","","","","","","","","",""
"error","에러","","","","","","","","","","","","","","","","","","","","","","","",""
"error-first callback","오류 우선 콜백","러닝 자바스크립트 참고","Violet-Bora-Lee","","","","","","","","","","","","","","","","","","","","","",""
"escape character","이스케이프 문자","https://www.microsoft.com/en-us/language/Search?&searchTerm=escape%20character&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"example","예시","","","","","","","","","","","","","","","","","","","","","","","",""
"execution","실행","","","","","","","","","","","","","","","","","","","","","","","",""
"execution context ","실행 컨텍스트","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"execution flow","실행 흐름","","","","","","","","","","","","","","","","","","","","","","","",""
"execution stack","실행 스택","","","","","","","","","","","","","","","","","","","","","","","",""
